id,host_id,host_is_superhost,neighbourhood_group,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,bathrooms,price,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,availability_365
1000000,200294,f,Manhattan,SoHo,40.76299,-73.9575,Entire home/apt,4,3,2.2,$193.13,5,101,1.2,4.98,229
1000001,200360,t,Bronx,Pelham Bay,40.84936,-73.86081,Entire home/apt,4,2,1.5,$94.86,1,22,1.32,4.88,104
1000002,200143,f,Brooklyn,Bed-Stuy,40.69076,-73.9564,Private room,2,1,1.0,$77.17,1,31,1.51,4.86,208
1000003,200180,t,Brooklyn,Brooklyn Heights,40.69641,-73.9463,Entire home/apt,4,2,2.0,$310.16,3,3,3.17,4.5,61
1000004,200285,t,Manhattan,Midtown,40.79643,-73.96018,Private room,2,1,1.5,$137.25,2,31,0.67,4.75,239
1000005,200112,t,Manhattan,Harlem,40.76752,-73.96366,Entire home/apt,3,2,1.5,$239.32,30,3,0.37,4.59,60
1000006,200230,f,Manhattan,Lower East Side,40.78799,-73.97075,Private room,1,1,1.0,$122.01,3,105,4.11,4.51,345
1000007,200021,t,Queens,Flushing,40.72678,-73.79619,Entire home/apt,6,4,3.0,$96.11,30,10,0.57,4.79,11
1000008,200145,f,Brooklyn,Brooklyn Heights,40.69039,-73.93553,Entire home/apt,3,2,2.0,$213.21,1,2,2.21,4.7,136
1000009,200146,t,Brooklyn,DUMBO,40.67866,-73.96658,Private room,3,1,1.0,$129.25,7,15,4.43,4.71,194
1000010,200375,t,Manhattan,Lower East Side,40.79052,-73.96035,Entire home/apt,2,1,1.8,$228.63,2,1,0.84,4.93,73
1000011,200316,f,Bronx,Riverdale,40.87931,-73.84867,Entire home/apt,5,3,2.2,$132.57,30,6,1.24,4.76,362
1000012,200166,f,Queens,Long Island City,40.69971,-73.79372,Entire home/apt,3,1,1.2,$115.21,1,26,2.14,4.97,135
1000013,200140,f,Manhattan,Harlem,40.81027,-73.96185,Entire home/apt,4,2,1.5,$221.83,2,3,2.07,4.82,42
1000014,200203,f,Manhattan,Upper East Side,40.78803,-73.9577,Entire home/apt,6,3,2.8,$243.48,3,61,0.49,4.91,38
1000015,200244,f,Manhattan,SoHo,40.77376,-73.96403,Entire home/apt,4,2,1.5,$191.69,2,85,2.44,4.72,30
1000016,200113,f,Manhattan,Chelsea,40.77934,-73.97149,Private room,1,1,1.0,$136.70,2,32,0.94,4.55,141
1000017,200201,f,Brooklyn,Williamsburg,40.69063,-73.9581,Entire home/apt,4,2,2.5,$237.52,30,166,3.0,4.98,319
1000018,200385,t,Manhattan,Greenwich Village,40.80242,-73.97754,Entire home/apt,2,1,1.0,$394.68,2,13,1.77,4.9,358
1000019,200314,f,Manhattan,SoHo,40.78701,-73.99221,Entire home/apt,2,2,2.0,$592.77,2,72,0.59,4.91,352
1000020,200259,f,Brooklyn,Williamsburg,40.689,-73.9225,Entire home/apt,2,1,1.0,$216.69,1,3,1.53,4.57,43
1000021,200255,f,Manhattan,Lower East Side,40.77538,-73.98785,Private room,2,1,1.0,$117.29,5,45,0.32,4.59,187
1000022,200023,t,Manhattan,Lower East Side,40.78727,-73.94938,Entire home/apt,8,4,3.0,$106.04,2,9,2.36,4.76,352
1000023,200393,t,Manhattan,Lower East Side,40.76135,-73.98779,Shared room,1,1,1.0,$58.60,2,13,0.49,4.92,1
1000024,200246,f,Brooklyn,Bed-Stuy,40.67139,-73.95651,Entire home/apt,2,2,1.5,$217.92,1,19,1.69,4.49,291
1000025,200339,t,Brooklyn,Bed-Stuy,40.66594,-73.97561,Private room,2,1,1.0,$81.42,2,44,2.41,4.38,310
1000026,200311,f,Manhattan,Greenwich Village,40.79194,-73.96612,Private room,2,1,1.0,$105.18,1,34,1.2,4.76,342
1000027,200366,t,Brooklyn,Bushwick,40.65272,-73.92234,Private room,1,1,1.0,$82.25,1,7,1.46,4.94,324
1000028,200372,f,Brooklyn,Crown Heights,40.70342,-73.95546,Private room,1,1,1.0,$119.92,2,4,2.52,4.9,335
1000029,200318,t,Manhattan,Upper East Side,40.8006,-73.97979,Private room,1,1,1.0,$152.79,1,25,1.77,4.93,295
1000030,200087,f,Brooklyn,Park Slope,40.68092,-73.95674,Entire home/apt,6,3,2.2,$315.72,1,3,1.11,4.67,23
1000031,200219,t,Manhattan,Harlem,40.81631,-73.97564,Entire home/apt,3,2,1.5,$323.03,3,14,0.65,4.77,103
1000032,200356,f,Manhattan,Chelsea,40.785,-73.98152,Private room,2,1,2.0,$132.23,1,46,2.97,4.68,61
1000033,200027,f,Bronx,Riverdale,40.87272,-73.8365,Entire home/apt,4,2,2.5,$108.67,2,24,1.43,4.9,152
1000034,200290,t,Bronx,Pelham Bay,40.86926,-73.85045,Entire home/apt,3,1,1.0,$94.50,1,41,0.75,4.91,262
1000035,200289,f,Queens,Flushing,40.71883,-73.78248,Private room,1,1,1.0,$47.15,2,4,0.33,4.91,293
1000036,200348,t,Manhattan,Greenwich Village,40.78299,-73.95151,Entire home/apt,5,2,1.5,$398.48,3,22,1.45,4.89,242
1000037,200223,t,Manhattan,Midtown,40.79984,-73.98094,Shared room,1,1,1.0,$51.76,3,10,1.16,4.9,341
1000038,200352,f,Brooklyn,Greenpoint,40.69242,-73.93397,Private room,2,1,1.5,$68.23,1,22,0.66,4.76,341
1000039,200178,f,Manhattan,Chelsea,40.7415,-73.95919,Private room,1,1,1.0,$108.16,1,57,1.8,4.85,346
1000040,200148,f,Manhattan,Hell's Kitchen,40.77662,-73.98449,Private room,1,1,2.0,$135.36,1,22,0.67,4.64,120
1000041,200227,t,Brooklyn,Bushwick,40.66555,-73.94623,Entire home/apt,5,2,1.5,$155.16,2,1,3.46,4.74,352
1000042,200351,f,Manhattan,SoHo,40.7903,-73.99168,Entire home/apt,2,1,1.2,$271.50,30,51,0.93,4.85,172
1000043,200186,f,Queens,Ridgewood,40.73105,-73.78625,Entire home/apt,4,2,2.0,$206.49,1,70,0.33,4.73,102
1000044,200294,t,Manhattan,Lower East Side,40.81103,-73.98735,Entire home/apt,4,3,2.8,$270.10,1,52,1.54,4.77,159
1000045,200041,f,Brooklyn,Crown Heights,40.67296,-73.94028,Private room,1,1,1.5,$71.36,1,1,2.49,4.65,256
1000046,200393,f,Manhattan,SoHo,40.80031,-73.97576,Private room,2,1,1.0,$105.34,2,21,0.52,4.7,201
1000047,200393,t,Brooklyn,Brooklyn Heights,40.69618,-73.97326,Entire home/apt,3,1,1.0,$225.03,3,2,2.09,4.78,44
1000048,200191,t,Brooklyn,Bushwick,40.6594,-73.93897,Entire home/apt,4,3,2.2,$438.55,2,75,2.29,4.71,63
1000049,200079,f,Manhattan,Harlem,40.76194,-73.98882,Shared room,1,1,1.0,$89.24,7,42,1.44,4.58,195
1000050,200205,f,Bronx,Pelham Bay,40.83688,-73.85323,Entire home/apt,8,4,3.0,$126.14,2,54,3.75,4.75,69
1000051,200384,t,Brooklyn,Williamsburg,40.64976,-73.94165,Entire home/apt,4,2,2.5,$318.37,1,3,0.69,4.83,180
1000052,200278,t,Bronx,Mott Haven,40.86029,-73.86772,Entire home/apt,4,2,1.5,$129.71,1,18,0.54,4.53,330
1000053,200272,f,Queens,Flushing,40.72267,-73.78887,Private room,2,1,1.5,$56.00,3,205,0.86,4.96,246
